user,ROI,sen2,cloud_per,cloud_coverage,label_type,difficulty,proj_centroid
FERNANDO,ROI_0117,20190220T063911_20190220T065010_T40SGA,0.0,cloud-free,high,NA,POINT (59.17154 31.79742)
JHOMIRA,ROI_0118,20190115T071239_20190115T071732_T40SBD,0.0,cloud-free,high,NA,POINT (54.17112 34.48183)
EDUARDO,ROI_0119,20190127T052101_20190127T052059_T44SNJ,0.0,cloud-free,high,NA,POINT (82.2181 39.1843)
FERNANDO,ROI_0120,20190302T045721_20190302T050545_T45TXE,0.0,cloud-free,high,NA,POINT (89.20896 39.83974)
JHOMIRA,ROI_0121,20200223T041751_20200223T041751_T47TLG,0.0,cloud-free,high,NA,POINT (97.86616 41.58863)
EDUARDO,ROI_0122,20190108T040139_20190108T040136_T48TUM,0.0,cloud-free,high,NA,POINT (103.7417 42.11909)
FERNANDO,ROI_0123,20190127T034021_20190127T034019_T49TCJ,0.0,cloud-free,high,NA,POINT (109.0063 43.89619)
JHOMIRA,ROI_0124,20190416T221609_20190416T221613_T60HUB,0.0,cloud-free,high,NA,POINT (175.6577 -39.31764)
EDUARDO,ROI_0125,20190127T034021_20190127T034019_T49TBG,0.0,cloud-free,high,NA,POINT (108.2373 42.15963)
FERNANDO,ROI_0126,20190515T202849_20190515T203536_T08WNS,0.0,cloud-free,high,NA,POINT (-134.2968 64.73624)
JHOMIRA,ROI_0127,20200529T202849_20200529T203207_T09WVM,0.0,cloud-free,high,NA,POINT (-130.3638 64.43429)
EDUARDO,ROI_0128,20200306T200301_20200306T200258_T09VXK,0.0,cloud-free,high,NA,POINT (-126.956 62.17743)
FERNANDO,ROI_0129,20190918T200101_20190918T200100_T10VCQ,0.0,cloud-free,high,NA,POINT (-125.733 63.04359)
JHOMIRA,ROI_0130,20200601T213541_20200601T213535_T06WVB,0.0,cloud-free,high,NA,POINT (-147.1619 68.73206)
EDUARDO,ROI_0131,20190425T212531_20190425T212525_T06WWB,0.0,cloud-free,high,NA,POINT (-144.6131 68.9463)
FERNANDO,ROI_0132,20181230T065259_20181230T065356_T40QDL,0.0,cloud-free,high,NA,POINT (56.33793 22.66967)
FERNANDO,ROI_0135,20181228T043209_20181228T043203_T47TLJ,0.0,cloud-free,high,NA,POINT (96.98724 44.08376)
JHOMIRA,ROI_0136,20190808T043709_20190808T044526_T46TEL,0.0,cloud-free,high,NA,POINT (93.55956 40.90827)
EDUARDO,ROI_0137,20190615T045709_20190615T045858_T45SVV,0.0,cloud-free,high,NA,POINT (87.05567 35.23977)
FERNANDO,ROI_0138,20190203T051021_20190203T051019_T44SPB,0.0,cloud-free,high,NA,POINT (82.7051 32.76431)
JHOMIRA,ROI_0139,20200417T044659_20200417T045549_T45RWM,0.0,cloud-free,high,NA,POINT (87.75882 28.33986)
EDUARDO,ROI_0140,20200515T040539_20200515T041208_T47RLN,0.0,cloud-free,high,NA,POINT (96.99772 29.56353)
FERNANDO,ROI_0141,20181226T141039_20181226T142041_T19FDE,0.0,cloud-free,high,NA,POINT (-69.4995 -50.15141)
JHOMIRA,ROI_0142,20200414T141051_20200414T142257_T19FEG,0.0,cloud-free,high,NA,POINT (-67.82956 -48.19742)
EDUARDO,ROI_0143,20190423T142041_20190423T142840_T19GDP,0.0,cloud-free,high,NA,POINT (-69.4775 -41.96909)
FERNANDO,ROI_0144,20181214T045209_20181214T045205_T46UEU,0.0,cloud-free,high,NA,POINT (94.03202 48.70076)
JHOMIRA,ROI_0145,20190508T044701_20190508T045325_T46TFT,0.0,cloud-free,high,NA,POINT (94.5044 47.33019)
EDUARDO,ROI_0146,20190310T050649_20190310T050650_T45UYQ,0.0,cloud-free,high,NA,POINT (90.74704 49.21003)
JHOMIRA,ROI_0148,20180311T094031_20180311T094844_T33RUQ,0.0,cloud-free,high,NA,POINT (13.8867 30.81956)
EDUARDO,ROI_0149,20181227T105441_20181227T105439_T30RVV,0.0,cloud-free,high,NA,POINT (-3.779329 31.04577)
FERNANDO,ROI_0150,20181227T100419_20181227T100616_T32PLC,0.0,cloud-free,high,NA,POINT (7.180188 16.10028)
JHOMIRA,ROI_0151,20200319T135111_20200319T135108_T21HTU,0.0,cloud-free,high,NA,POINT (-60.20515 -37.55988)
EDUARDO,ROI_0152,20200320T141049_20200320T141518_T20HMF,0.0,cloud-free,high,NA,POINT (-63.7207 -35.87861)
FERNANDO,ROI_0153,20200411T140051_20200411T140833_T20JPM,0.0,cloud-free,high,NA,POINT (-61.52336 -30.17542)
JHOMIRA,ROI_0154,20200201T135641_20200201T140849_T20HNJ,0.0,cloud-free,high,NA,POINT (-62.00683 -32.87056)
EDUARDO,ROI_0155,20200508T135121_20200508T135927_T21HUA,0.0,cloud-free,high,NA,POINT (-58.40335 -35.94984)
FERNANDO,ROI_0156,20190923T134209_20190923T134221_T21HXC,0.0,cloud-free,high,NA,POINT (-55.67872 -33.56867)
JHOMIRA,ROI_0157,20190901T135111_20190901T135113_T21JWG,0.0,cloud-free,high,NA,POINT (-56.94101 -30.77641)
EDUARDO,ROI_0158,20190304T133219_20190304T133359_T22JBP,0.0,cloud-free,high,NA,POINT (-53.70118 -28.68356)
FERNANDO,ROI_0159,20200129T143659_20200129T144449_T18HYE,0.0,cloud-free,high,NA,POINT (-72.02642 -36.62241)
JHOMIRA,ROI_0160,20200311T134209_20200311T134208_T21KYR,0.0,cloud-free,high,NA,POINT (-54.49219 -22.34058)
EDUARDO,ROI_0161,20200427T133219_20200427T133219_T22KEA,0.0,cloud-free,high,NA,POINT (-50.62396 -21.81543)
WENDY,ROI_0162,20190202T133229_20190202T133224_T22KEF,0.0,cloud-free,high,NA,POINT (-50.36134 -17.51141)
JHOMIRA,ROI_0163,20190125T132231_20190125T132230_T22KGC,0.0,cloud-free,high,NA,POINT (-48.16415 -20.41863)
EDUARDO,ROI_0164,20190702T150729_20190702T150729_T18LWL,0.0,cloud-free,high,NA,POINT (-74.70696 -13.01791)
FERNANDO,ROI_0165,20190917T145729_20190917T150535_T19LBD,0.0,cloud-free,high,NA,POINT (-71.05956 -14.68092)
JHOMIRA,ROI_0166,20190817T152649_20190817T152645_T18LTQ,0.0,cloud-free,high,NA,POINT (-76.86044 -9.829571)
EDUARDO,ROI_0167,20190820T153629_20190820T154239_T17MPT,0.0,cloud-free,high,NA,POINT (-79.6948 -1.950672)
FERNANDO,ROI_0168,20200211T153611_20200211T153626_T17MQU,0.0,cloud-free,high,NA,POINT (-78.74996 -1.180163)
JHOMIRA,ROI_0169,20200714T151711_20200714T151708_T18NZL,0.0,cloud-free,high,NA,POINT (-71.80661 4.569769)
EDUARDO,ROI_0170,20191229T150719_20191229T150928_T19NEG,0.0,cloud-free,high,NA,POINT (-68.51073 6.034703)
FERNANDO,ROI_0171,20191124T150721_20191124T150720_T19NCJ,0.0,cloud-free,high,NA,POINT (-70.04879 7.735187)
JHOMIRA,ROI_0172,20181224T150719_20181224T151034_T19NCH,0.0,cloud-free,high,NA,POINT (-70.15874 6.296702)
EDUARDO,ROI_0173,20190326T145731_20190326T145725_T19PHK,0.0,cloud-free,high,NA,POINT (-66.02776 8.191908)
FERNANDO,ROI_0174,20200326T142729_20200326T142728_T20NQJ,0.0,cloud-free,high,NA,POINT (-60.64611 3.578976)
JHOMIRA,ROI_0175,20200617T152651_20200617T152645_T17MQN,0.0,cloud-free,high,NA,POINT (-78.44242 -6.770068)
FERNANDO,ROI_0177,20190220T164321_20190220T165028_T14QRE,0.0,cloud-free,high,NA,POINT (-95.29972 18.0171)
JHOMIRA,ROI_0178,20191213T170711_20191213T171111_T14QNK,0.0,cloud-free,high,NA,POINT (-98.30567 22.06988)
EDUARDO,ROI_0179,20200424T170851_20200424T172641_T13QGC,0.0,cloud-free,high,NA,POINT (-102.6562 20.51491)
FERNANDO,ROI_0180,20190509T173911_20190509T175022_T12RYP,0.0,cloud-free,high,NA,POINT (-108.3691 25.48661)
JHOMIRA,ROI_0181,20200715T165849_20200715T171429_T14RNP,0.0,cloud-free,high,NA,POINT (-98.15712 25.73254)
EDUARDO,ROI_0182,20190914T165921_20190914T170704_T14RQT,0.0,cloud-free,high,NA,POINT (-96.15233 29.15609)
FERNANDO,ROI_0183,20190824T172901_20190824T173902_T13SGT,0.0,cloud-free,high,NA,POINT (-102.7858 33.86961)
JHOMIRA,ROI_0184,20190602T171901_20190602T172737_T14SMH,0.0,cloud-free,high,NA,POINT (-99.93162 38.42043)
EDUARDO,ROI_0185,20190917T170941_20190917T172023_T14TQN,0.0,cloud-free,high,NA,POINT (-95.70815 43.12813)
FERNANDO,ROI_0186,20190812T173909_20190812T174600_T14TKK,0.0,cloud-free,high,NA,POINT (-102.1289 39.85117)
JHOMIRA,ROI_0187,20190807T173911_20190807T174841_T13TGL,0.0,cloud-free,high,NA,POINT (-101.8652 45.28394)
EDUARDO,ROI_0188,20190730T172909_20190730T173355_T14TNS,0.0,cloud-free,high,NA,POINT (-98.4375 46.74791)
FERNANDO,ROI_0189,20190604T175911_20190604T180717_T13UEP,0.0,cloud-free,high,NA,POINT (-104.5898 48.17313)
JHOMIRA,ROI_0190,20190628T182929_20190628T183312_T12UVB,0.0,cloud-free,high,NA,POINT (-111.797 50.79719)
CESAR,ROI_0191,20200427T180909_20200427T181915_T12UYB,0.0,cloud-free,high,NA,POINT (-107.3154 50.46356)
FERNANDO,ROI_0192,20190430T184921_20190430T185638_T11TLM,0.0,cloud-free,high,NA,POINT (-118.5322 46.75686)
JHOMIRA,ROI_0193,20190811T222541_20190811T222536_T04WEB,0.0,cloud-free,high,NA,POINT (-157.6757 68.7902)
FERNANDO,ROI_0195,20200402T194941_20200402T195330_T10WFB,0.0,cloud-free,high,NA,POINT (-118.3163 68.385)
JHOMIRA,ROI_0196,20190911T182921_20190911T183249_T13WDN,0.0,cloud-free,high,NA,POINT (-105.293 65.0444)
EDUARDO,ROI_0197,20200712T173911_20200712T174044_T14VPM,0.0,cloud-free,high,NA,POINT (-96.76767 59.81184)
FERNANDO,ROI_0198,20190917T161909_20190917T162652_T18VWK,0.0,cloud-free,high,NA,POINT (-73.93527 58.48818)
EDUARDO,ROI_0200,20200709T181919_20200709T182634_T12UVU,0.0,cloud-free,high,NA,POINT (-111.6211 48.23319)
FERNANDO,ROI_0201,20190922T162001_20190922T162717_T16TGL,0.0,cloud-free,high,NA,POINT (-83.84774 40.98343)
JHOMIRA,ROI_0202,20190527T160839_20190527T161127_T17TNJ,0.0,cloud-free,high,NA,POINT (-80.83661 43.83784)
EDUARDO,ROI_0203,20190926T165039_20190926T165151_T15TYG,0.0,cloud-free,high,NA,POINT (-89.73634 41.61371)
FERNANDO,ROI_0204,20191017T171321_20191017T171528_T15TTE,0.0,cloud-free,high,NA,POINT (-95.41812 40.01844)
FERNANDO,ROI_0210,20190719T070631_20190719T070626_T43WFT,0.0,cloud-free,high,NA,POINT (78.2228 69.78839)
EDUARDO,ROI_0212,20190812T055639_20190812T055642_T48XVG,0.0,cloud-free,high,NA,POINT (103.7108 73.58389)
JHOMIRA,ROI_0214,20200613T061629_20200613T061914_T45WVU,0.0,cloud-free,high,NA,POINT (86.48442 70.38666)
EDUARDO,ROI_0215,20190830T042701_20190830T042704_T51WVV,0.0,cloud-free,high,NA,POINT (120.4101 71.86364)
JHOMIRA,ROI_0217,20190801T044709_20190801T044707_T48WXD,0.0,cloud-free,high,NA,POINT (109.2919 70.4395)
FERNANDO,ROI_0219,20200701T030551_20200701T030547_T52WEB,0.0,cloud-free,high,NA,POINT (129.8168 69.257)
JHOMIRA,ROI_0220,20190810T015659_20190810T015659_T55WFT,0.0,cloud-free,high,NA,POINT (151.9327 69.87641)
EDUARDO,ROI_0221,20200721T003609_20200721T003607_T59WMP,0.0,cloud-free,high,NA,POINT (169.9804 66.30846)
FERNANDO,ROI_0222,20190916T000609_20190916T000610_T60WVU,0.0,cloud-free,high,NA,POINT (176.2207 65.84537)
JOSELYN,ROI_0224,20190903T004641_20190903T004644_T58VDR,0.0,cloud-free,high,NA,POINT (163.3007 63.67426)
FERNANDO,ROI_0225,20200320T025541_20200320T030130_T50SLC,0.0,cloud-free,high,NA,POINT (115.2686 33.36711)
JHOMIRA,ROI_0226,20190905T030541_20190905T030727_T50SLG,0.0,cloud-free,high,NA,POINT (115.5045 37.68218)
EDUARDO,ROI_0227,20200715T024551_20200715T025520_T51TVJ,0.0,cloud-free,high,NA,POINT (122.3877 43.58519)
FERNANDO,ROI_0228,20190217T030801_20190217T031404_T50TMS,0.0,cloud-free,high,NA,POINT (116.4551 46.28929)
JHOMIRA,ROI_0229,20200615T033539_20200615T034427_T49TCN,0.0,cloud-free,high,NA,POINT (109.6437 47.10428)
EDUARDO,ROI_0230,20190918T031541_20190918T032028_T50ULA,0.0,cloud-free,high,NA,POINT (115.4638 49.7301)
FERNANDO,ROI_0231,20190811T035541_20190811T035540_T48TVT,0.0,cloud-free,high,NA,POINT (103.8867 47.78824)
EDUARDO,ROI_0233,20190521T045701_20190521T045700_T45TXN,0.0,cloud-free,high,NA,POINT (89.7333 47.22646)
FERNANDO,ROI_0234,20190812T050701_20190812T051340_T45UVP,0.0,cloud-free,high,NA,POINT (86.79195 48.57906)
JHOMIRA,ROI_0235,20200512T053639_20200512T054139_T44UNV,0.0,cloud-free,high,NA,POINT (81.51858 49.24296)
FERNANDO,ROI_0237,20190623T064631_20190623T064838_T41UNR,0.0,cloud-free,high,NA,POINT (64.07234 50.01622)
JHOMIRA,ROI_0238,20190515T061631_20190515T062300_T42TWT,0.0,cloud-free,high,NA,POINT (70.13673 47.34927)
EDUARDO,ROI_0239,20200527T071621_20200527T072021_T40UEA,0.0,cloud-free,high,NA,POINT (57.65626 50.06906)
FERNANDO,ROI_0240,20190509T073621_20190509T074354_T39UUQ,0.0,cloud-free,high,NA,POINT (49.4824 49.3923)
JHOMIRA,ROI_0241,20180808T084559_20180808T084940_T35TQN,0.0,cloud-free,high,NA,POINT (30.94585 47.48943)
EDUARDO,ROI_0242,20200729T090601_20200729T091338_T35UNP,0.0,cloud-free,high,NA,POINT (27.33396 48.46901)
FERNANDO,ROI_0243,20190728T092031_20190728T092427_T35TLJ,0.0,cloud-free,high,NA,POINT (24.96095 43.84893)
JHOMIRA,ROI_0244,20180708T105619_20180708T110215_T30TXS,0.0,cloud-free,high,NA,POINT (-0.4395158 46.11097)
EDUARDO,ROI_0245,20180526T105029_20180526T105635_T31UDR,0.0,cloud-free,high,NA,POINT (2.944274 49.98411)
CESAR,ROI_0246,20190629T103031_20190629T103537_T32UMD,0.0,cloud-free,high,NA,POINT (8.657216 52.43219)
JHOMIRA,ROI_0247,20200426T110621_20200426T111038_T30UXC,0.0,cloud-free,high,NA,POINT (-0.1317943 52.16361)
EDUARDO,ROI_0248,20200419T112111_20200419T112443_T30UWD,0.0,cloud-free,high,NA,POINT (-2.680674 52.64587)
FERNANDO,ROI_0249,20200519T112121_20200519T112235_T30UWB,0.0,cloud-free,high,NA,POINT (-2.032491 51.39904)
EDUARDO,ROI_0251,20180708T101031_20180708T101803_T32TPQ,0.0,cloud-free,high,NA,POINT (10.54693 44.94176)
